title,year,venue,doi,decision
A Multi-AUV Collaborative Ocean Data Collection Method Based on LG-DQN and Data Value,2024,IEEE Internet of Things Journal,10.1109/JIOT.2023.3322169,exclude
A Novel Trajectory Planning Method Based on Trust Region Policy Optimization,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3407484,exclude
A Reinforcement Approach for Fleet Optimization in Multi-Agent Autonomous Cars,2024,"2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)",10.1109/ICEEICT61591.2024.10718531,borderline
A Safety-Enhanced Reinforcement Learning-Based Decision-Making and Motion Planning Method for Left-Turning at Unsignalized Intersections for Automated Vehicles,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3424523,exclude
A Study of Reinforcement Learning Techniques for Path Tracking in Autonomous Vehicles,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588521,exclude
A Study on the Advancement of Intelligent Military Drones: Focusing on Reconnaissance Operations,2024,IEEE Access,10.1109/ACCESS.2024.3390035,exclude
A Survey of Automatic Driving Environment Perception,2024,"2024 IEEE 24th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",10.1109/QRS-C63300.2024.00137,exclude
"A Survey of Machine Learning Innovations in Ambulance Services: Allocation, Routing, and Demand Estimation",2024,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2024.3514871,survey
A Survey on Multimodal Large Language Models for Autonomous Driving,2024,2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),10.1109/WACVW60836.2024.00106,exclude
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions",2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3452480,survey
A Two-Stage Approach for Electric Vehicle Routing Problem with Time Windows and Heterogeneous Recharging Stations,2024,Tsinghua Science and Technology,10.26599/TST.2023.9010101,exclude
A Unified Approach to Autonomous Driving in a High-Fidelity Simulator Using Vision-Based Reinforcement Learning,2024,2024 IEEE/SICE International Symposium on System Integration (SII),10.1109/SII58957.2024.10417385,exclude
A distributed control architecture for sustainable routing decisions of autonomous vehicle platoons subject to cyber attacks,2024,"2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT62066.2024.10708430,borderline
A2D2: AI-Driven Autonomous Drone-Based Detection Network for Wildfires,2024,2024 International Conference on Advanced Robotics and Intelligent Systems (ARIS),10.1109/ARIS62416.2024.10679999,exclude
AUV-Assisted Node Repair for IoUT Relying on Multiagent Reinforcement Learning,2024,IEEE Internet of Things Journal,10.1109/JIOT.2023.3298522,exclude
Advanced Decision Making and Motion Planning Framework for Autonomous Navigation in Unsignalized Intersections,2024,IEEE Access,10.1109/ACCESS.2024.3487195,exclude
Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,2024,2024 International Conference on Intelligent Computation (IC),,borderline
Aiding Emergency Services Through Real Time Traffic Congestion Monitoring And Route Optimization Using Pic,2024,2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,10.1109/TQCEBT59414.2024.10545198,exclude
An AUV-Assisted Data Collection Scheme for UWSNs Based on Reinforcement Learning Under the Influence of Ocean Current,2024,IEEE Sensors Journal,10.1109/JSEN.2023.3339155,exclude
An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,2024,IEEE Intelligent Transportation Systems Magazine,,include
An Algorithm Combining Deep Reinforcement Learning and Dynamic Programming for Solving TSP-D,2024,2024 IEEE Smart World Congress (SWC),10.1109/SWC62898.2024.00087,exclude
An Attention Ant Colony Algorithm for Solving SDVRP,2024,2024 36th Chinese Control and Decision Conference (CCDC),10.1109/CCDC62350.2024.10588134,exclude
An Efficient Attribute Attention-based Vehicle Routing Algorithm with Adaptive Training Strategy,2024,2024 IEEE International Conference on High Performance Computing and Communications (HPCC),10.1109/HPCC64274.2024.00156,exclude
An End-to-End Deep Reinforcement Learning Framework for Electric Vehicle Routing Problem,2024,IEEE Internet of Things Journal,10.1109/JIOT.2024.3432911,exclude
An Enhanced Path Tracking Control Method for Unmanned Surface Vehicles Using Combined Reinforcement Learning DDPG Algorithm and MPC,2024,2024 China Automation Congress (CAC),10.1109/CAC63892.2024.10865521,exclude
An Examination of Offline-Trained Encoders in Vision-Based Deep Reinforcement Learning for Autonomous Driving,2024,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),10.1109/CASE59546.2024.10711548,exclude
An Explainable and Robust Motion Planning and Control Approach for Autonomous Vehicle On-Ramping Merging Task Using Deep Reinforcement Learning,2024,IEEE Transactions on Transportation Electrification,10.1109/TTE.2023.3347278,exclude
An Improved Deep Reinforcement Learning Algorithm for Path Planning in Unmanned Driving,2024,IEEE Access,10.1109/ACCESS.2024.3400159,exclude
An Integrated DRL Framework for Autonomous High-Speed Cruising Control,2024,2024 12th International Conference on Information Systems and Computing Technology (ISCTech),10.1109/ISCTech63666.2024.10845357,exclude
An On-Board Control Scheme for Consumer-Level Autonomous Underwater Vehicle in the Intelligent Cyber?�Physical Transportation Systems,2024,IEEE Transactions on Consumer Electronics,10.1109/TCE.2023.3332587,exclude
Application of Artificial Intelligence Optimization in Hybrid Vehicles,2024,"2024 4th International Signal Processing, Communications and Engineering Management Conference (ISPCEM)",10.1109/ISPCEM64498.2024.00026,exclude
Application of Deep Learning to Generate Auto Player Mode in Car Based Game,2024,2024 IEEE 16th International Conference on Computational Intelligence and Communication Networks (CICN),10.1109/CICN63059.2024.10847417,exclude
Artificial Intelligence Enabled Future Wireless Electric Vehicles with Multi-Model Learning and Decision Making Models,2024,Tsinghua Science and Technology,10.26599/TST.2023.9010094,borderline
Asynchronous Federated Learning for Vehicular Edge Caching of Consumer Content,2024,IEEE Consumer Electronics Magazine,10.1109/MCE.2024.3358025,exclude
Attention-Based Distributional Reinforcement Learning for Safe and Efficient Autonomous Driving,2024,IEEE Robotics and Automation Letters,10.1109/LRA.2024.3427551,exclude
Attention-Based Highway Safety Planner for Autonomous Driving via Deep Reinforcement Learning,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3304530,exclude
Automated Algorithm Design with Partial Reconstruction Heuristics for Solving Vehicle Routing Problems,2024,2024 IEEE 17th International Conference on Signal Processing (ICSP),10.1109/ICSP62129.2024.10846069,exclude
Automatic Algorithm Design Assisted by LLMs for Solving Vehicle Routing Problems,2024,2024 IEEE 17th International Conference on Signal Processing (ICSP),10.1109/ICSP62129.2024.10846261,exclude
Autonomous Decision-Making in Roundabouts Using Deep Reinforcement Learning and Heuristics Rules,2024,2024 IEEE Cyber Science and Technology Congress (CyberSciTech),10.1109/CyberSciTech64112.2024.00053,exclude
Autonomous Driving Decision Algorithm for Complex Multi-Vehicle Interactions: An Efficient Approach Based on Global Sorting and Local Gaming,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3346048,exclude
Autonomous Driving with a Deep Dual-Model Solution for Steering and Braking Control,2024,2024 9th International Conference on Smart and Sustainable Technologies (SpliTech),10.23919/SpliTech61897.2024.10612577,exclude
Autonomous Intersection Management using Gated Recurrent Units,2024,"2024 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",10.1109/CONECCT62155.2024.10677081,exclude
Autonomous Landing on a Moving Platform Using Vision-Based Deep Reinforcement Learning,2024,IEEE Robotics and Automation Letters,10.1109/LRA.2024.3379837,exclude
Autonomous Vehicles Driving at Unsigned Intersections Based on Improved Proximal Policy Optimization Algorithm,2024,2024 7th International Conference on Advanced Algorithms and Control Engineering (ICAACE),10.1109/ICAACE61206.2024.10548445,exclude
Autopilot Controller of Fixed-Wing Planes Based on Curriculum Reinforcement Learning Scheduled by Adaptive Learning Curve,2024,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/TETCI.2024.3360322,exclude
Battery Charging and Swapping System Involved in Demand Response for Joint Power and Transportation Networks,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3346403,exclude
Behavioral decision-making for autonomous driving using Soft Actor-Critic algorithm,2024,2024 36th Chinese Control and Decision Conference (CCDC),10.1109/CCDC62350.2024.10588017,exclude
Bi-level Trajectory Optimization on Uneven Terrains with Differentiable Wheel-Terrain Interaction Model,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS58592.2024.10802848,exclude
Binocular Vision-Based Motion Planning of an AUV: A Deep Reinforcement Learning Approach,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3321884,exclude
Blade Control for Bulk Dozer Push by Bulldozer using Reinforcement Learning,2024,IECON 2024 - 50th Annual Conference of the IEEE Industrial Electronics Society,10.1109/IECON55916.2024.10905075,exclude
Boosting Race Car Performance Through Reinforcement Learning from AI Feedback (RLAIF),2024,NAECON 2024 - IEEE National Aerospace and Electronics Conference,10.1109/NAECON61878.2024.10670346,exclude
Centralized Deep Reinforcement Learning Method for Dynamic Multi-Vehicle Pickup and Delivery Problem With Crowdshippers,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3352143,exclude
Collaborative Delivery Optimization With Multiple Drones via Constrained Hybrid Pointer Network,2024,IEEE Internet of Things Journal,10.1109/JIOT.2023.3318524,exclude
Comparative Analysis of Neural Network Models for Autonomous Driving: A Case Study of the NVIDIA model and the DeepDriving Model,2024,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),10.1109/AIIoT58432.2024.10574744,exclude
Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,2024,IEEE Internet of Things Journal,,include
Construction of Autonomous Vehicle Trajectory Tracking System Under Artificial Intelligence Technology,2024,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),10.1109/ICDCECE60827.2024.10548177,exclude
Cooperative Autonomous Driving Control among Vehicles of Different Sizes Using Deep Reinforcement Learning,2024,2024 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN60899.2024.10649971,exclude
Cooperative Collision Avoidance for Autonomous Vessels in a Mixed Traffic Environment,2024,2024 Winter Simulation Conference (WSC),10.1109/WSC63780.2024.10838876,exclude
Cooperative Merging Control Based on Reinforcement Learning With Dynamic Waypoint,2024,IEEE Access,10.1109/ACCESS.2024.3408223,exclude
Cooperative Positioning with Multi-Agent Reinforcement Learning,2024,2024 27th International Conference on Information Fusion (FUSION),10.23919/FUSION59988.2024.10706524,exclude
Cross-Observability Learning for Vehicle Routing Problems,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS58592.2024.10801785,exclude
Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,2024,2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),10.1109/ICONSTEM60960.2024.10568864,include
Data-Driven Traffic Simulation: A Comprehensive Review,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3367919,survey
Decision Framework for Unsignalized Intersection Based on Discrete Soft Actor-Critic with Attention Mechanism and Occupancy Grid Integration,2024,2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI63518.2024.10830252,exclude
Decoupling Patrolling Tasks for Water Quality Monitoring: A Multi-Agent Deep Reinforcement Learning Approach,2024,IEEE Access,10.1109/ACCESS.2024.3403790,exclude
Deep Reinforcement Learning for Large-Scale Efficient Routing of Electric Vehicles,2024,"2024 International Conference on Automation in Manufacturing, Transportation and Logistics (ICaMaL)",10.1109/ICaMaL62577.2024.10919844,exclude
Deep Reinforcement Learning for Solving the Vehicle Routing Problem in Practical Logistics,2024,2024 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC60901.2024.10612190,exclude
Deep Reinforcement Learning with Detour Estimation for Vehicle Routing Problems,2024,2024 36th Chinese Control and Decision Conference (CCDC),10.1109/CCDC62350.2024.10587944,exclude
